# g, E0
5.000000000000000278e-02,-1.561625265337737104e-03
1.000000000000000056e-01,-6.236057649213973091e-03
1.499999999999999944e-01,-1.399236169135572964e-02
2.000000000000000111e-01,-2.478025941068760438e-02
2.500000000000000000e-01,-3.853193560976262561e-02
2.999999999999999889e-01,-5.516435078230309125e-02
3.499999999999999778e-01,-7.458188532324573627e-02
4.000000000000000222e-01,-9.667913327919834543e-02
4.500000000000000111e-01,-1.213436784460686368e-01
5.000000000000000000e-01,-1.484587146689441695e-01
5.500000000000000444e-01,-1.779054089841298203e-01
5.999999999999999778e-01,-2.095649444508127235e-01
6.500000000000000222e-01,-2.433202142851025596e-01
6.999999999999999556e-01,-2.790571672708229145e-01
7.500000000000000000e-01,-3.166658251844518546e-01
8.000000000000000444e-01,-3.560410063199042074e-01
8.499999999999999778e-01,-3.970827961641196779e-01
9.000000000000000222e-01,-4.396968082781553822e-01
9.499999999999999556e-01,-4.837942769527187048e-01
1.000000000000000000e+00,-5.292920195302859288e-01
